TIME,GEO,WST_OPER,UNIT,Value
2002,Hungary,Waste treatment,Thousand tonnes,"4,243"
2002,Hungary,Recycling - material,Thousand tonnes,67
2002,Malta,Waste generated,Thousand tonnes,214
2002,Malta,Waste treatment,Thousand tonnes,214
2002,Malta,Recycling - material,Thousand tonnes,1
2002,Netherlands,Waste generated,Thousand tonnes,"9,684"
2002,Netherlands,Waste treatment,Thousand tonnes,"8,313"
2002,Netherlands,Recycling - material,Thousand tonnes,"2,022"
2002,Austria,Waste generated,Thousand tonnes,"4,914"
2002,Austria,Waste treatment,Thousand tonnes,"5,146"
2002,Austria,Recycling - material,Thousand tonnes,"1,115"
2002,Poland,Waste generated,Thousand tonnes,"10,509"
2002,Poland,Waste treatment,Thousand tonnes,"10,509"
2002,Poland,Recycling - material,Thousand tonnes,116
2002,Portugal,Waste generated,Thousand tonnes,"4,595"
2002,Portugal,Waste treatment,Thousand tonnes,"4,595"
2002,Portugal,Recycling - material,Thousand tonnes,213
2002,Romania,Waste generated,Thousand tonnes,"8,365"
2002,Romania,Waste treatment,Thousand tonnes,"6,865"
2002,Romania,Recycling - material,Thousand tonnes,170
2002,Slovenia,Waste generated,Thousand tonnes,812
2002,Slovenia,Waste treatment,Thousand tonnes,791
2002,Slovenia,Recycling - material,Thousand tonnes,62
2002,Slovakia,Waste generated,Thousand tonnes,"1,449"
2002,Slovakia,Waste treatment,Thousand tonnes,"1,376"
2002,Slovakia,Recycling - material,Thousand tonnes,34
2002,Finland,Waste generated,Thousand tonnes,"2,384"
2002,Finland,Waste treatment,Thousand tonnes,"2,503"
2002,Finland,Recycling - material,Thousand tonnes,621
2002,Sweden,Waste generated,Thousand tonnes,"4,149"
2002,Sweden,Waste treatment,Thousand tonnes,"4,149"
2002,Sweden,Recycling - material,Thousand tonnes,"1,295"
2002,United Kingdom,Waste generated,Thousand tonnes,"35,532"
2002,United Kingdom,Waste treatment,Thousand tonnes,"35,534"
2002,United Kingdom,Recycling - material,Thousand tonnes,"3,733"
2002,Iceland,Waste generated,Thousand tonnes,137
2002,Iceland,Waste treatment,Thousand tonnes,135
2002,Iceland,Recycling - material,Thousand tonnes,19
2002,Norway,Waste generated,Thousand tonnes,"1,780"
2002,Norway,Waste treatment,Thousand tonnes,"1,780"
2002,Norway,Recycling - material,Thousand tonnes,560
2002,Switzerland,Waste generated,Thousand tonnes,"4,936"
2002,Switzerland,Waste treatment,Thousand tonnes,"4,936"
2002,Switzerland,Recycling - material,Thousand tonnes,"1,578"
