TIME,GEO,ANIMALS,MONTH,UNIT,Value
2001,France,"Bovine animals, 1 year",December,Thousand heads (animals),"3,930.39"
2001,Croatia,Live bovine animals,December,Thousand heads (animals),438.42
2001,Croatia,"Bovine animals, less than 1 year",December,Thousand heads (animals),104.27
2001,Croatia,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),14.01
2001,Croatia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),90.26
2001,Croatia,"Bovine animals, 1 year",December,Thousand heads (animals),51.95
2001,Italy,"Bovine animals, less than 1 year",December,Thousand heads (animals),"1,994.33"
2001,Italy,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),496.26
2001,Italy,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"1,498.07"
2001,Italy,"Bovine animals, 1 year",December,Thousand heads (animals),"1,512.05"
2001,Cyprus,Live bovine animals,December,Thousand heads (animals),53.43
2001,Cyprus,"Bovine animals, less than 1 year",December,Thousand heads (animals),17.99
2001,Cyprus,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),17.99
2001,Cyprus,"Bovine animals, 1 year",December,Thousand heads (animals),10.76
2001,Latvia,Live bovine animals,December,Thousand heads (animals),384.7
2001,Latvia,"Bovine animals, less than 1 year",December,Thousand heads (animals),112
2001,Latvia,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),68.6
2001,Latvia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),43.4
2001,Latvia,"Bovine animals, 1 year",December,Thousand heads (animals),49
2001,Lithuania,Live bovine animals,December,Thousand heads (animals),751.7
2001,Lithuania,"Bovine animals, less than 1 year",December,Thousand heads (animals),164
2001,Lithuania,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),81.3
2001,Lithuania,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),82.7
2001,Lithuania,"Bovine animals, 1 year",December,Thousand heads (animals),109.8
2001,Luxembourg,Live bovine animals,December,Thousand heads (animals),198.35
2001,Luxembourg,"Bovine animals, less than 1 year",December,Thousand heads (animals),54.57
2001,Luxembourg,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),3.29
2001,Luxembourg,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),51.27
2001,Luxembourg,"Bovine animals, 1 year",December,Thousand heads (animals),43.25
2001,Hungary,Live bovine animals,December,Thousand heads (animals),783
2001,Hungary,"Bovine animals, less than 1 year",December,Thousand heads (animals),205
2001,Hungary,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),67
2001,Hungary,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),138
2001,Hungary,"Bovine animals, 1 year",December,Thousand heads (animals),166
2001,Malta,Live bovine animals,December,Thousand heads (animals),19
2001,Malta,"Bovine animals, less than 1 year",December,Thousand heads (animals),5.28
2001,Malta,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),0
2001,Malta,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),5.28
2001,Malta,"Bovine animals, 1 year",December,Thousand heads (animals),3.68
2001,Netherlands,Live bovine animals,December,Thousand heads (animals),"3,842.00"
2001,Netherlands,"Bovine animals, less than 1 year",December,Thousand heads (animals),"1,357.00"
2001,Netherlands,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),790
2001,Netherlands,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),567
2001,Netherlands,"Bovine animals, 1 year",December,Thousand heads (animals),698
2001,Austria,Live bovine animals,December,Thousand heads (animals),"2,118.45"
2001,Austria,"Bovine animals, less than 1 year",December,Thousand heads (animals),658.93
2001,Austria,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),68.08
2001,Austria,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),590.85
2001,Austria,"Bovine animals, 1 year",December,Thousand heads (animals),455.71
2001,Poland,Live bovine animals,December,Thousand heads (animals),"5,498.79"
2001,Poland,"Bovine animals, less than 1 year",December,Thousand heads (animals),"1,278.18"
2001,Poland,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),126.93
2001,Poland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"1,151.25"
2001,Poland,"Bovine animals, 1 year",December,Thousand heads (animals),985.05
2001,Portugal,Live bovine animals,December,Thousand heads (animals),"1,420.54"
2001,Portugal,"Bovine animals, less than 1 year",December,Thousand heads (animals),401.84
2001,Portugal,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),78.96
2001,Portugal,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),322.88
2001,Portugal,"Bovine animals, 1 year",December,Thousand heads (animals),234.66
2001,Romania,Live bovine animals,December,Thousand heads (animals),"2,799.80"
2001,Slovenia,Live bovine animals,December,Thousand heads (animals),477.08
2001,Slovenia,"Bovine animals, less than 1 year",December,Thousand heads (animals),136.99
2001,Slovenia,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),14.14
2001,Slovenia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),122.86
2001,Slovenia,"Bovine animals, 1 year",December,Thousand heads (animals),127.41
2001,Slovakia,Live bovine animals,December,Thousand heads (animals),625.19
2001,Slovakia,"Bovine animals, less than 1 year",December,Thousand heads (animals),172.55
2001,Slovakia,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),68.98
2001,Slovakia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),103.57
2001,Slovakia,"Bovine animals, 1 year",December,Thousand heads (animals),145.12
2001,Finland,Live bovine animals,December,Thousand heads (animals),"1,019.40"
2001,Finland,"Bovine animals, less than 1 year",December,Thousand heads (animals),354.7
2001,Finland,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),9.4
2001,Finland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),345.3
2001,Finland,"Bovine animals, 1 year",December,Thousand heads (animals),250.66
2001,Sweden,Live bovine animals,December,Thousand heads (animals),"1,617.30"
2001,Sweden,"Bovine animals, less than 1 year",December,Thousand heads (animals),508.38
2001,Sweden,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),25.17
2001,Sweden,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),483.21
2001,Sweden,"Bovine animals, 1 year",December,Thousand heads (animals),407.73
2001,United Kingdom,Live bovine animals,December,Thousand heads (animals),"10,160.87"
2001,United Kingdom,"Bovine animals, less than 1 year",December,Thousand heads (animals),"2,671.61"
2001,United Kingdom,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),38.15
2001,United Kingdom,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"2,633.47"
2001,United Kingdom,"Bovine animals, 1 year",December,Thousand heads (animals),"2,552.06"
2002,European Union - 28 countries,Live bovine animals,December,Thousand heads (animals),"92,780.27"
2002,European Union - 27 countries (2007-2013),Live bovine animals,December,Thousand heads (animals),"92,363.15"
2002,European Union - 25 countries (2004-2006),Live bovine animals,December,Thousand heads (animals),"88,786.35"
2002,European Union - 25 countries (2004-2006),"Bovine animals, less than 1 year",December,Thousand heads (animals),"25,526.33"
2002,European Union - 25 countries (2004-2006),"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),"4,477.19"
2002,European Union - 25 countries (2004-2006),"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"21,049.15"
2002,European Union - 25 countries (2004-2006),"Bovine animals, 1 year",December,Thousand heads (animals),"18,298.64"
2002,European Union - 15 countries (1995-2004),Live bovine animals,December,Thousand heads (animals),"78,554.27"
2002,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year",December,Thousand heads (animals),"22,965.25"
2002,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),"4,035.96"
2002,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),"18,929.29"
2002,European Union - 15 countries (1995-2004),"Bovine animals, 1 year",December,Thousand heads (animals),"16,317.27"
2002,Belgium,Live bovine animals,December,Thousand heads (animals),"2,758.46"
2002,Belgium,"Bovine animals, less than 1 year",December,Thousand heads (animals),742.05
2002,Belgium,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),169.08
2002,Belgium,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),572.98
2002,Belgium,"Bovine animals, 1 year",December,Thousand heads (animals),559.05
2002,Bulgaria,Live bovine animals,December,Thousand heads (animals),699
2002,Bulgaria,"Bovine animals, less than 1 year",December,Thousand heads (animals),226.6
2002,Bulgaria,"Bovine animals, less than 1 year, for slaughter",December,Thousand heads (animals),107.9
2002,Bulgaria,"Bovine animals, less than 1 year, not for slaughter",December,Thousand heads (animals),118.7
2002,Bulgaria,"Bovine animals, 1 year",December,Thousand heads (animals),57.7
